transaction_date,product_id,store_id,price_id,promotion_id,quantity,unit_price,revenue,is_promo,price_scope,price_type
2025-01-07 20:17:15,501,114,2266,,2,73.00,146.00,False,COUNTRY,STANDARD
2025-06-23 20:57:34,485,114,2311,,4,27.50,110.00,False,STORE,STANDARD
2025-01-09 09:05:13,499,119,2262,,2,60.30,120.60,False,COUNTRY,STANDARD
2025-05-24 12:45:41,497,1,2254,,4,61.00,244.00,False,COUNTRY,STANDARD
2025-05-31 13:51:55,488,120,2322,,4,33.10,132.40,False,STORE,STANDARD
2025-06-28 15:21:17,505,115,2278,,2,85.00,170.00,False,COUNTRY,STANDARD
2025-01-27 10:24:06,487,118,2225,,4,29.45,117.80,False,COUNTRY,STANDARD
2025-06-04 13:51:02,508,118,2288,,4,89.30,357.20,False,COUNTRY,STANDARD
2025-04-07 10:35:18,498,114,2257,,3,64.00,192.00,False,COUNTRY,STANDARD
2025-06-30 10:02:42,499,116,2260,,3,67.00,201.00,False,COUNTRY,STANDARD
2025-01-21 12:55:06,505,117,2279,,3,80.75,242.25,False,COUNTRY,STANDARD
2025-06-12 14:10:23,489,120,2325,,3,35.80,107.40,False,STORE,STANDARD
2025-06-29 19:41:04,487,117,2318,,2,31.95,63.90,False,STORE,STANDARD
2025-02-11 16:24:17,498,116,2257,,2,64.00,128.00,False,COUNTRY,STANDARD
2025-01-15 12:52:02,502,118,2270,,4,72.20,288.80,False,COUNTRY,STANDARD
2025-01-17 12:58:36,493,117,2336,,3,49.05,147.15,False,STORE,STANDARD
2025-04-12 19:29:09,487,120,2319,,4,30.40,121.60,False,STORE,STANDARD
2025-05-24 17:16:47,485,116,2218,,5,25.00,125.00,False,COUNTRY,STANDARD
2025-04-03 12:08:32,509,119,2292,,4,87.30,349.20,False,COUNTRY,STANDARD
2025-01-29 11:40:10,483,1,2212,,2,19.00,38.00,False,COUNTRY,STANDARD
2025-04-09 15:38:29,500,114,2263,,5,70.00,350.00,False,COUNTRY,STANDARD
2025-06-24 20:07:43,498,1,2257,,2,64.00,128.00,False,COUNTRY,STANDARD
2025-01-29 13:27:10,505,118,2279,,4,80.75,323.00,False,COUNTRY,STANDARD
2025-05-09 11:32:58,1,117,2300,,2,14.85,29.70,False,STORE,STANDARD
2025-06-13 17:38:12,508,117,2288,,2,89.30,178.60,False,COUNTRY,STANDARD
2025-05-19 17:58:00,492,115,2239,,2,46.00,92.00,False,COUNTRY,STANDARD
2025-01-29 14:56:53,496,1,2251,,3,58.00,174.00,False,COUNTRY,STANDARD
2025-03-03 18:05:05,488,1,2367,84,5,30.60,153.00,True,COUNTRY,PROMO
2025-05-17 11:08:42,507,114,2284,,3,91.00,273.00,False,COUNTRY,STANDARD
2025-03-09 17:55:38,511,115,2296,,3,103.00,309.00,False,COUNTRY,STANDARD
2025-05-19 20:44:12,511,116,2296,,4,103.00,412.00,False,COUNTRY,STANDARD
2025-04-23 17:28:07,493,118,2243,,3,46.55,139.65,False,COUNTRY,STANDARD
2025-03-28 09:37:35,488,114,2320,,4,36.50,146.00,False,STORE,STANDARD
2025-01-02 10:45:40,499,116,2260,,3,67.00,201.00,False,COUNTRY,STANDARD
2025-01-09 14:04:32,488,114,2320,,4,36.50,146.00,False,STORE,STANDARD
2025-02-24 17:08:46,489,120,2325,,3,35.80,107.40,False,STORE,STANDARD
2025-04-15 12:06:06,488,120,2322,,5,33.10,165.50,False,STORE,STANDARD
2025-04-16 16:55:46,492,119,2241,,1,41.40,41.40,False,COUNTRY,STANDARD
2025-01-16 15:46:21,502,114,2269,,3,76.00,228.00,False,COUNTRY,STANDARD
2025-02-18 17:28:08,488,116,2227,,5,34.00,170.00,False,COUNTRY,STANDARD
2025-04-29 12:55:59,486,117,2315,,1,29.10,29.10,False,STORE,STANDARD
2025-01-13 19:34:53,495,114,2341,,2,57.50,115.00,False,STORE,STANDARD
2025-02-12 15:31:30,483,116,2212,,2,19.00,38.00,False,COUNTRY,STANDARD
2025-01-16 11:24:00,508,119,2289,,3,84.60,253.80,False,COUNTRY,STANDARD
2025-03-15 15:44:46,489,120,2325,,3,35.80,107.40,False,STORE,STANDARD
2025-03-17 12:03:37,485,116,2364,84,5,22.50,112.50,True,COUNTRY,PROMO
2025-01-15 09:37:30,504,118,2276,,2,77.90,155.80,False,COUNTRY,STANDARD
2025-02-17 10:38:04,482,114,2385,87,5,12.80,64.00,True,STORE,PROMO
2025-05-26 12:37:38,493,114,2335,,3,51.50,154.50,False,STORE,STANDARD
2025-04-18 19:37:36,500,114,2263,,5,70.00,350.00,False,COUNTRY,STANDARD
2025-02-22 19:45:20,510,117,2294,,1,95.00,95.00,False,COUNTRY,STANDARD
2025-02-03 19:41:19,489,119,2232,,2,33.30,66.60,False,COUNTRY,STANDARD
2025-01-03 16:39:36,491,114,2329,,4,45.50,182.00,False,STORE,STANDARD
2025-05-10 13:08:59,483,116,2212,,3,19.00,57.00,False,COUNTRY,STANDARD
2025-03-04 14:18:10,509,114,2290,,5,97.00,485.00,False,COUNTRY,STANDARD
2025-06-06 19:33:00,507,117,2285,,2,86.45,172.90,False,COUNTRY,STANDARD
2025-02-04 13:07:56,510,114,2293,,2,100.00,200.00,False,COUNTRY,STANDARD
2025-03-11 13:38:13,504,115,2275,,2,82.00,164.00,False,COUNTRY,STANDARD
2025-05-10 16:16:57,487,117,2318,,2,31.95,63.90,False,STORE,STANDARD
2025-03-12 09:00:21,483,119,2214,,1,17.10,17.10,False,COUNTRY,STANDARD
